datetime,temp,humidity,conditions
2024-08-05,31.1,91.9,"Rain, Partially cloudy"
2024-08-06,30,94.4,"Rain, Partially cloudy"
2024-08-07,30.5,92,"Rain, Partially cloudy"
2024-08-08,30.7,91.4,"Rain, Partially cloudy"
2024-08-09,30.1,93.7,"Rain, Partially cloudy"
2024-08-10,30.4,92.3,"Rain, Partially cloudy"
2024-08-11,30.4,93.5,"Rain, Partially cloudy"
2024-08-12,31.5,90.5,"Rain, Partially cloudy"
2024-08-13,31.7,89.9,"Rain, Partially cloudy"
2024-08-14,31.2,91.6,Partially cloudy
2024-08-15,32.2,88.7,Partially cloudy
2024-08-16,32.9,86.1,Partially cloudy
2024-08-17,34.2,80.3,Partially cloudy
2024-08-18,32.1,84.5,"Rain, Partially cloudy"
2024-08-19,32.4,85.4,"Rain, Partially cloudy"
2024-08-20,31.6,85,"Rain, Partially cloudy"
2024-08-21,31.9,83.6,Partially cloudy
2024-08-22,31.2,88.3,"Rain, Partially cloudy"
2024-08-23,29.3,93,"Rain, Overcast"
2024-08-24,30.9,88.1,Partially cloudy
2024-08-25,31.6,85.5,Partially cloudy
2024-08-26,31.6,83.5,Partially cloudy
2024-08-27,29.7,90.9,"Rain, Partially cloudy"
2024-08-28,30.8,90.9,"Rain, Partially cloudy"
2024-08-29,32,86.7,Partially cloudy
2024-08-30,32.4,85.5,Partially cloudy
2024-08-31,33.3,84,Partially cloudy
2024-09-01,31.6,90,Partially cloudy
2024-09-02,32.2,85.1,Partially cloudy
2024-09-03,33.2,80.4,Partially cloudy
2024-09-04,29.9,90.4,"Rain, Partially cloudy"
2024-09-05,29.6,89.5,"Rain, Partially cloudy"
2024-09-06,29.7,87.2,"Rain, Partially cloudy"
2024-09-07,32.1,80,Partially cloudy
2024-09-08,31.2,84,"Rain, Partially cloudy"
2024-09-09,31.4,82.6,Partially cloudy
2024-09-10,31.4,82.8,Partially cloudy
2024-09-11,31.5,85.7,Partially cloudy
2024-09-12,32.9,84.6,Partially cloudy
2024-09-13,32,85.8,"Rain, Partially cloudy"
2024-09-14,29.7,93.5,"Rain, Overcast"
2024-09-15,29.9,89.3,"Rain, Partially cloudy"
2024-09-16,29.2,90.8,"Rain, Partially cloudy"
2024-09-17,30,89,Partially cloudy
2024-09-18,31.4,85.4,Partially cloudy
2024-09-19,32.3,80.2,Partially cloudy
2024-09-20,32.6,83.3,Partially cloudy
2024-09-21,32.3,82.4,Partially cloudy
2024-09-22,32.6,82.5,Partially cloudy
2024-09-23,33,80.3,Partially cloudy
2024-09-24,32.4,81.8,"Rain, Partially cloudy"
2024-09-25,29.3,92.9,"Rain, Partially cloudy"
2024-09-26,27.9,96.1,"Rain, Overcast"
2024-09-27,28.4,94.7,"Rain, Overcast"
2024-09-28,28.1,95.4,"Rain, Overcast"
2024-09-29,29.3,93,"Rain, Partially cloudy"
2024-09-30,30.8,92.8,"Rain, Partially cloudy"
2024-10-01,31,89.3,Partially cloudy
2024-10-02,30.8,90.2,"Rain, Partially cloudy"
2024-10-03,30.6,90.3,Partially cloudy
2024-10-04,30.7,88.8,Partially cloudy
2024-10-05,30.4,87.7,Partially cloudy
2024-10-06,30.1,88.3,Partially cloudy
2024-10-07,30.6,88.6,Partially cloudy
2024-10-08,30.8,87.9,Partially cloudy
2024-10-09,30.4,86.5,Partially cloudy
2024-10-10,30.8,86,Partially cloudy
2024-10-11,30.5,84.3,Partially cloudy
2024-10-12,29.6,84.5,Partially cloudy
2024-10-13,30.1,82.3,Partially cloudy
2024-10-14,29.2,84.4,Partially cloudy
2024-10-15,29.6,81.1,Partially cloudy
2024-10-16,29.7,74.3,Partially cloudy
2024-10-17,29,78,Partially cloudy
2024-10-18,29.9,80.3,Partially cloudy
2024-10-19,29.3,82.6,Partially cloudy
2024-10-20,29,84,Clear
2024-10-21,29.6,84.3,Partially cloudy
2024-10-22,29.7,80.5,Clear
2024-10-23,29.7,78.9,Partially cloudy
2024-10-24,28.6,84.6,Partially cloudy
2024-10-25,25.8,92.4,"Rain, Partially cloudy"
2024-10-26,26.4,92,"Rain, Partially cloudy"
2024-10-27,27.4,94.9,"Rain, Partially cloudy"
2024-10-28,29.8,88.8,Partially cloudy
2024-10-29,30.2,87.2,Partially cloudy
2024-10-30,30.2,82.8,Rain
2024-10-31,30,82.6,Clear
2024-11-01,29.6,80.5,Clear
2024-11-02,28,88.6,Clear
2024-11-03,27.5,91.1,Partially cloudy
2024-11-04,27.7,86.4,Partially cloudy
2024-11-05,27.4,84.1,Partially cloudy
2024-11-06,27.2,83.1,Partially cloudy
2024-11-07,27.9,80.1,Clear
2024-11-08,27.4,81.9,Clear
2024-11-09,27.3,84,Clear
2024-11-10,27.4,82.1,Clear
2024-11-11,27.1,83.2,Clear
2024-11-12,26.9,84.7,Clear
2024-11-13,26.5,82.5,Clear
2024-11-14,25.9,76.3,Clear
2024-11-15,24.4,74.8,Clear
2024-11-16,23.6,79,Clear
2024-11-17,23.2,85.3,Clear
2024-11-18,23.6,85.3,Clear
2024-11-19,23.3,82.2,Partially cloudy
2024-11-20,23.5,77.4,Partially cloudy
2024-11-21,22.3,73.6,Clear
2024-11-22,21,79.6,Clear
2024-11-23,20.6,80.9,Clear
2024-11-24,20.6,80.6,Clear
2024-11-25,21.8,83.2,Clear
2024-11-26,21.8,78.3,Clear
2024-11-27,20.9,83,Clear
2024-11-28,20.3,87.7,Clear
2024-11-29,21.5,77.9,Clear
2024-11-30,21.2,74.9,Clear
2024-12-01,20.4,77.9,Partially cloudy
2024-12-02,20.1,80.1,Clear
2024-12-03,20.5,80.9,Clear
2024-12-04,21.7,73.5,Clear
2024-12-05,21,68.5,Clear
2024-12-06,18.9,69.4,Clear
2024-12-07,18.2,70.4,Clear
2024-12-08,18.9,73,Clear
2024-12-09,19.9,81.3,"Rain, Partially cloudy"
2024-12-10,19.4,76.3,Clear
2024-12-11,17.5,73,Clear
2024-12-12,16.9,69.1,Clear
2024-12-13,17.5,68,Clear
2024-12-14,16.4,63.9,Clear
2024-12-15,16.4,74.7,Clear
2024-12-16,18,77.4,Clear
2024-12-17,18.9,80.6,Clear
2024-12-18,18.8,81.9,Clear
2024-12-19,18.9,79.8,Clear
2024-12-20,18.7,77.5,Clear
2024-12-21,18.7,81.1,Clear
2024-12-22,18.2,83.1,Clear
2024-12-23,18.4,82.4,Clear
2024-12-24,19.1,79.6,Clear
2024-12-25,19.7,78.9,Partially cloudy
2024-12-26,19.7,77.1,Partially cloudy
2024-12-27,20.1,80.1,Clear
2024-12-28,20.6,81.6,Partially cloudy
2024-12-29,21.4,84.9,Partially cloudy
2024-12-30,18.8,91.6,Partially cloudy
2024-12-31,17.1,87.3,Partially cloudy
2025-01-01,13.8,90.3,Partially cloudy
2025-01-02,13.6,80.9,Partially cloudy
2025-01-03,13.6,79,Clear
2025-01-04,12.7,92,Partially cloudy
2025-01-05,13.2,92.5,Partially cloudy
2025-01-06,16.5,84.6,Partially cloudy
2025-01-07,16.1,91.2,Overcast
2025-01-08,14.9,73.6,Partially cloudy
2025-01-09,13.8,72.8,Clear
2025-01-10,14.3,77.9,Clear
2025-01-11,15.9,78.7,Partially cloudy
2025-01-12,19,74.7,"Rain, Partially cloudy"
2025-01-13,18.9,72.9,Partially cloudy
2025-01-14,15.2,89.9,Partially cloudy
2025-01-15,14.4,86.9,Partially cloudy
2025-01-16,15.1,76.9,Partially cloudy
2025-01-17,16.5,78.4,Partially cloudy
2025-01-18,17.3,69.4,Clear
2025-01-19,16.1,72,Clear
2025-01-20,16.6,73.8,Clear
2025-01-21,14.9,93.2,Partially cloudy
2025-01-22,15.9,93.3,Partially cloudy
2025-01-23,17.2,82.1,Partially cloudy
2025-01-24,17.5,83.7,Partially cloudy
2025-01-25,17.8,63.6,Clear
2025-01-26,17.1,65.5,Clear
2025-01-27,16.7,75.3,Clear
2025-01-28,16.9,66.7,Clear
2025-01-29,17.5,71.2,Clear
2025-01-30,17.9,70.7,Clear
2025-01-31,18.8,71.2,Clear
2025-02-01,20,69.3,Clear
2025-02-02,21.3,61.4,Clear
2025-02-03,21,56.9,Clear
2025-02-04,20.4,63,Clear
2025-02-05,22.1,63.3,Clear
2025-02-06,20.3,54.6,Clear
2025-02-07,18.5,49.4,Clear
2025-02-08,17.9,54.1,Clear
2025-02-09,18.6,64.4,Clear
2025-02-10,19.7,65.7,Clear
2025-02-11,20.9,59.9,Clear
2025-02-12,21.8,58.3,Clear
2025-02-13,20.5,53.6,Clear
2025-02-14,19.3,49.4,Clear
2025-02-15,19.4,57.5,Clear
2025-02-16,20.5,64.4,Clear
2025-02-17,21.6,62.2,Clear
2025-02-18,21.9,67,Clear
2025-02-19,22.3,64.1,Clear
2025-02-20,23,64.8,Clear
2025-02-21,23.8,64.2,Clear
2025-02-22,23.7,57.6,Clear
2025-02-23,22.6,57.6,Clear
2025-02-24,21.8,58.5,Clear
2025-02-25,22,59.1,Clear
2025-02-26,21.5,62.2,Partially cloudy
2025-02-27,21.8,65.2,Clear
2025-02-28,23.2,66.4,Partially cloudy
2025-03-01,24.1,69.9,"Rain, Partially cloudy"
2025-03-02,24.8,61,Clear
2025-03-03,24.4,47.7,Clear
2025-03-04,24.7,50.7,Clear
2025-03-05,21.7,44.8,Clear
2025-03-06,20.2,47.2,Clear
2025-03-07,21,58.9,Clear
2025-03-08,23,52.8,Clear
2025-03-09,24,50.8,Clear
2025-03-10,24.9,56.7,Clear
2025-03-11,25.5,57.2,Clear
2025-03-12,27.1,49.9,Clear
2025-03-13,27,58.5,Clear
2025-03-14,27.5,55.1,Clear
2025-03-15,28.6,50.7,Clear
2025-03-16,27.5,52.9,Partially cloudy
2025-03-17,28.9,39.4,Partially cloudy
2025-03-18,26.7,32.4,Clear
2025-03-19,26.1,35.6,Clear
2025-03-20,25.4,53.7,Partially cloudy
2025-03-21,25.1,67.1,Partially cloudy
2025-03-22,25.5,52.5,Partially cloudy
2025-03-23,25.6,47.7,Partially cloudy
2025-03-24,27.5,49.6,Clear
2025-03-25,27.7,41.6,Clear
2025-03-26,28.3,44.6,Clear
2025-03-27,29.8,39.4,Clear
2025-03-28,31.1,29.5,Clear
2025-03-29,29.2,24.1,Clear
2025-03-30,27.8,21.5,Clear
2025-03-31,28,28.1,Clear
2025-04-01,29.4,22.5,Clear
2025-04-02,28.7,27.3,Partially cloudy
2025-04-03,29.6,28.1,Partially cloudy
2025-04-04,30.1,40.3,Partially cloudy
2025-04-05,30.7,37.7,Clear
2025-04-06,30.6,41.3,Clear
2025-04-07,30.4,61.7,Clear
2025-04-08,31.1,57.1,Clear
2025-04-09,30.2,61.7,"Rain, Partially cloudy"
2025-04-10,26,74.9,"Rain, Partially cloudy"
2025-04-11,26.3,70.3,Partially cloudy
2025-04-12,29,69,Partially cloudy
2025-04-13,28,62,Partially cloudy
2025-04-14,27,72.3,"Rain, Partially cloudy"
2025-04-15,28.1,62,Partially cloudy
2025-04-16,30.1,58.8,Clear
2025-04-17,30.9,60.8,Partially cloudy
2025-04-18,26.3,75.2,"Rain, Partially cloudy"
2025-04-19,28.7,72.6,"Rain, Partially cloudy"
2025-04-20,31.7,64.9,Clear
2025-04-21,34.1,64,Clear
2025-04-22,34.4,54.3,Clear
2025-04-23,34.9,16.6,Clear
2025-04-24,33.4,18.4,Clear
2025-04-25,33.5,24.3,Clear
2025-04-26,33.6,26.5,Partially cloudy
